Chinese,part,English
结冰,vi.,"freeze(froze, frozen)"
法国的，法国人的;法语的; 法语; 法国人;,a. n.,French
新鲜的,a.,fresh
星期五,n.,Friday
冰箱,n.,fridge (=refrigerator)
朋友,n.,friend
友好的,a.,friendly
友谊，友情,n.,friendship
使惊恐，使恐慌; 吓走，赶走; ,vt.,frighten
害怕，惊恐; ,vi.,frighten
青蛙,n.,frog
从；从……起；来自,prep.,from
前面的；前部的；前面；前部,a.& n.,front
水果；果实,n.,fruit
满的，充满的；完全的,a.,full
有趣的事，娱乐，玩笑,n.,fun
有趣的，滑稽可笑的,a.,funny
（总称）家具,n.,furniture
将来,n.,future
游戏；运动；比赛,n.,game
花园，果园，菜园,n.,garden
大门,n.,gate
大体的；笼统的；总的,a.,general
绅士；先生,n.,gentleman
地理学,n.,geography
德国的; 德国人/语的; 德国文化的; ,a.,German  
德国人，德语; ,n.,German
德国,n.,Germany
姿势；手势,n.,gesture
成为；得到；具有；到达,vt.,"get(got, got)"
进展；与…….相处,,get along / on (with) 
逃离,,get away 
返回,,get back  
接近,,get close (to) 
降下,,get down 
进入，收获，达到,,get in 
脱下（衣服等），下车,,get off 
与……相处,,get on with sb. 
上车,,get on 
通过，拨通（电话）,,get through 
相聚；联欢,,get together
起床,,get up 
礼物；赠品,n.,gift
长颈鹿,n.,giraffe
女孩,n.,girl
给；递给；付出；给予,vt.,"give(gave, given)"
分发,,give away 
归还，送回,,give back 
屈服，让步,,give in 
分发,,give out 
放弃,,give up
高兴的；乐意的,a.,glad
玻璃杯；玻璃；(复)眼镜,n.,glass 
手套,n.,glove
胶水,n.,glue
去；走,vi.,"go (went, gone)"
走在前面，领先；干吧，干下去,,go ahead 
走开；离去,,go away 
走过，经过，过去,,go by 
（去）钓鱼 / （买东西，滑冰）,,go fishing(shopping/
,,skating)
散步,,go for a walk 
走开,,go off 
继续/不停干某事,,go on doing
继续,,go on with 
继续,,go on 
熄灭,,go out
复习;仔细地再读一遍,,go over
浏览；翻阅，通过,,go through 
山羊,n.,goat
神；（大写）上帝,n.,god
（足球）球门；目标,n.,goal
拱门；射门得分,vi.,goal
黄金,n.,gold
金的；黄金的,a.,goal
金（黄）色的,a.,golden
好；良好,a.,"good (better, best)"
再见；再会,int.,goodbye (bye)
鹅,n.,goose (pl.geese)
政府,n.,government
等级；(中小学的)学年；成绩，分数,n.,grade
逐步地，渐渐地; 按部就班地,ad.,gradually
语法,n.,grammar
（外）孙或孙女；孙辈,n.,grandchild
（外）孙女,n.,granddaughter
奶奶；外婆,n.,grandma
爷爷；外公,n.,grandpa=grandfather
祖父母；外祖父母,n.,grandparent
（外）孙子,n.,grandson
老奶奶；祖母；外婆,n.,granny
葡萄,n.,grape
草；草场；牧草,n.,grass
伟大的；重要的；好极了(口语)好极了，很好,a.,great
绿色的；青的,a.,green
绿色,n.,green
欢迎，迎接; 致敬，致意; 打招呼; （景象，声音等）映入眼帘; ,vt.,greet
祝贺；问候,n.,greeting
灰色的; 灰白的; ,a.,grey
使变成灰色; 使变老; ,vt.,grey
变成灰色; 老化; ,vi.,grey
灰色; ,n.,grey
地面,n.,ground
组，群,n.,group
生长/发育；种植；变成,v.,"grow(grew, grown)"
成年;长大成人,,grow up 
警戒；保护装置,n.,guard
猜,vi.,guess
客人；宾客,n.,guest
指南；向导；入门书,n.,guide
引导；带领；操纵,vt.,guide
担任向导,vi.,guide
吉他,n.,guitar
枪；炮,n.,gun
体操；体育馆；健身房,n.,gym =gymnasium 
习惯；习性,n.,habit
最好(不)做,,had better (not) do
头发,n.,hair
半，一半，半个,a.& n.,half
大堂；会堂；礼堂,n.,hall
火腿,n.,ham
汉堡包,n.,hamburger
手；指针,n.,hand
提交；传递,v.,hand
上交；缴纳,,hand in  
分发,,hand out
女用皮包；手提包,n.,handbag
英俊的,a.,handsome
书法,n.,handwriting
悬挂；吊着；把……吊起；绞死,v.,"hang(hung, ~/hanged,~)"
（打电话时）不挂断，等待片刻,,hang on
挂断电话,,hang up
 (偶然)发生,vi.,happen
幸福的；快乐的，高兴的,a.,happy
努力地；使劲；猛烈地,ad.,hard
硬的；困难的；艰难的,a.,hard
几乎不,ad.,hardly
对…有害的；能造成损害的；不利；不良,adj.,harmful
帽子(一般指有边的)；礼帽,n.,hat
恨，讨厌,vt & n..,hate
有；吃；喝；进行；经受,vt.,"have/has (had, had)"
患感冒,,have a cold
玩得高兴，过得愉快,,have a good time
上课,,have classes
玩得高兴,,have fun with
不得不；必须,,have to
他,pron.,he
头；头脑(像)；才智；首脑；源头；标题,n.,head
头痛；令人头痛的事,n.,headache
健康，卫生,n.,health
健康的；健壮的,a.,healthy
听见；听说，得知,v.,"hear(heard, heard)"
收到…的来信,,hear from
听说，知道,,hear of
心，心脏；纸牌中的红桃,n.,heart
热,n.,heat
天；天空,n.,heaven
重的,a.,heavy
高；高度；海拔,n.,height
喂；你好(用于打招呼、问候),int.,hello (hi)
帮助，帮忙,n.&vt.,help
请随便吃点,,help oneself to sth.
帮助某人做某事,,help sb. with sth.
帮助某人解决困难,,help…out
有帮助的，有益的,a.,helpful
母鸡,n.,hen
她(宾格)，她的,pron.,her
她的,pron.,hers
这里，在这里；向这里,ad.,here
英雄；勇士,n.,hero (pl. heroes)
她自己,pron.,herself
把……藏起来；隐藏,v.,"hide(hid, hidden)"
高的；高度的,a.,high
小山；丘陵；土堆；斜坡,n.,hill
他(宾格),pron.,him
他自己,pron.,himself
他的,pron.,his
历史，历史学,n.,history
打，撞，击中,vt.,"hit(hit, hit)"
业余爱好；奢好,n.,hobby
拿；抱；握住；举行；进行,vt.,"hold(held, held)"
等一等（别挂电话）,,hold on
不出气，屏住呼吸,,hold one's breath
洞，孔；洞穴，穴；缺陷；<口>绝境,n. ,hole
凿洞；（高尔夫球等）进洞,vt.& vi.,hole
假日；假期,n.,holiday
家；家；回家,n.&ad.,home
故乡,n.,hometown
家庭作业,n.,homework
诚实的；正直的,a.,honest
荣誉；敬意,n.,honour (美honor)
尊敬；给以荣誉,vt.,honour (美honor)
希望,n.&v.,hope
马,n.,horse
医院,n.,hospital
热的,a.,hot
旅馆，饭店，宾馆,n.,hotel
小时,n.,hour
房子；住宅,n.,house 
家务劳动,n.,housework
怎样，如何；多少；多么,ad.,how
可是；然而；尽管如此    ’,ad.&conj,however
巨大的，庞大的,a.,huge
人的，人类的,a.,human
人类,n.,human
幽默的,a.,humorous
百,num.,hundred
几百，成百上千,,hundreds of
(饥)饿的,a.,hungry
赶快，急忙,vi.,hurry
赶快，快点,,hurry up
伤害，受伤；伤人感情,vt.,"hurt(hurt, hurt)"
丈夫,n.,husband
我,pron.,I 
冰,n.,ice
冰淇淋,n.,ice-cream
主意，意见，打算，想法,n.,idea
如果，假使；是否，是不是,conj,if
有病的；不健康的,a.,ill
疾病,n.,illness
想象；设想,vt.,imagine
立即的；直接的，最接近的；目前的，当前的；直觉的,adj.,immediate
立即,ad.,immediately
重要的,a.,important
不可能的，做不到的，不会有的，不能相信的,adj.,impossible
改进，更新,vt.,improve
在……里(内)；在……；以……,prep.,in
英寸,n.,inch
包含；包括,vt.,include
增加；繁殖,v.& n.,increase
印度,n.,India
(美洲)印地安人的；印度人的,a.,Indian
印地安人；印度人,n.,Indian
工业,n.,industry
推断；猜想，推理；暗示；意指作出推论,vt. vi. ,infer
影响,n.&v.,influence
信息,n.,information
墨水；油墨,n.,ink
在……里面,prep.,inside
坚持；坚持认为,vi.,insist
代替，顶替,ad.,instead
说明，须知；教导,n.,instruction
意图；目的,n.,intention
仪器；手段，工具；乐器；法律文件,n. ,instrument
用仪器装备；为演奏谱曲；向…提交文书,vt.,instrument
兴趣，趣味；利息,n.,interest
有趣的,a.,interesting
国际的,a.,international
互联网；因特网,n.,Internet
打断（别人的话等）；阻止；截断,vt.& vi.,interrupt
暂停；中断；打扰；妨碍,vt.,interrupt
打断,vi.,interrupt
中断；暂停,n.,interrupt
采访；会见；面试,n.&vt.,interview
到……里；向内；变成,prep.,into
介绍,vt.,introduce
介绍；引进,n.,introduction
发明；创造,vt.,invent
发明，创造,n.,invention
邀请，招待,vt.,invite
包含；使参与，牵涉；围绕，缠绕；使专心于,vt.,involve
（不可数名词）铁；熨斗,n.,iron 
熨烫,vt.,iron 
岛,n.,island
它,pron,it
它的,pron,its
它自己,pron,itself
匆忙，很快地,,in a hurry
简言之，总之,,in a word
总之,,in all
共同，共有,,in common
处在危险状态,,in danger
事实上，实际上,,in fact
在…前面,,in front of
需要，缺少,,in need of
为了,,in order that
为了,,in order to/so as to
按顺序,,in order
换句话说,,in other words
安静，宁静,,in peace
当众；公开,,in public
吃惊，惊讶,,in surprise
最后，终于,,in the end  
及时，来得及,,in time
代替，而不是,,instead of
短上衣，夹克衫,n.,jacket
一月,n.,January
日本,n.,Japan
日本的，日本人的，日语的n．日本人，日语,a.,Japanese
牛仔裤,n. ,jeans
(一份)工作,n.,job
参加，加入；连接；会合,v.,join
参加，加入,,join in/take part in
笑话,n.,joke
旅行，旅程行期；历程，过程,n. ,journey
旅行，出游,vi.,journey
在…旅行或旅行到过… ,vt.,journey
欢乐；高兴；乐趣,n.,joy
审判，评判；断定,vt.& vi. vt. ,judge
估计；评价；（尤指）批评；想，认为,n.,judge
法官；裁判员；评判员；鉴定人,,judge
汁；液,n.,juice
七月,n.,July
跳跃；惊起；猛扑,v.,jump
六月,n.,June
刚才；恰好；不过；仅,ad.,just
公正的,a.,just
现在，刚才,,just now
保持；保存；继续不断,v.,"keep(kept, kept)"
继续做某事,,keep doing sth.
勿踏，勿踩,,keep off
继续（进行）,,keep on
守信,,keep one's word
保持；维持；继续,,keep up
钥匙；答案；键；关键,n.,key
键盘,n.,keyboard
踢,v.&n.,kick
小孩,n.,kid
杀死，弄死,v.,kill
千克；千米,n.,kilo=kilogram
千米(公里),n.,kilometer
,,(美kilometre)
种；类别,n.,kind
善良的；友好的,a.,kind
国王,n.,king
吻；亲吻,n.&vt,kiss
厨房,n.,kitchen
风筝,n.,kite
膝盖,n.,knee
小刀；匕首；刀片,n.,knife（pl.knives）
敲；打；击,v.& n.,knock
敲,,knock at/on
撞上,,knock into sb.
知道，了解；认识；懂得,v.,"know(knew, known)"
知识，学问,n.,knowledge
实验室,n.,lab=laboratory
劳动,n.,labour(美labor)
女士，夫人,n.,lady
湖,n.,lake
羔羊,n.,lamb
灯；灯油,n.,lamp
陆地；土地,n.,land
登岸(陆)；降落,v.,land
语言,n.,language
大的，巨大的,a.,large
最近刚过去的；最后的；上一个,a.,last
持续,vt.,last
晚的，迟的,a.,late
晚地，迟地,ad.,late
较晚地；以后，过后；后来；随后,adv. ,later
后来的；以后的；接近末期的；晚年的,adj.,later
笑，大笑；嘲笑,n.,laugh
嘲笑,,laugh at
法律；法令；定律,n.,law
放；搁,vt.,"lay (laid, laid)"
懒的,a.,lazy
领导；带领,vt.,"lead (led, led)"
导致，导向,,lead to
领袖；领导人,n.,leader
 (树，菜)叶,n.,leaf（pl. leaves）
学，学习，学会,vt.,learn
,,"learnt,learnt/-ed,-ed"
最少，最少量,n.,least
离开；把……留下，剩下,v.,"leave(left, left)"
左边的,a.,left
左；左边,n.,left
腿；腿脚；支柱,n.,leg
柠檬；柠檬树；柠檬黄,n. ,lemon
柠檬色的,adj.,lemon
柠檬水,n.,lemonade
借(出)，把……借给,vt.,"lend(lent, lent)"
较少的（little的比较级）；较小的；较次的，较劣的；较不重要的,adj. ,less
较少地，较小地,,less
减去；少掉；不足,,less
较少，较小,adv. n. ,less
课；功课；教训,n.,lesson
让,vt.,"let(let, let)"
让…进来，放进,,let in
放掉，泄露,,let out
信；字母,n.,letter
水平线；水平,n.,level
图书馆，图书室,n.,library
执照；许可证,n.,license
躺；卧；平放；位于,v.,"lie(lay, lain)"
谎言,n.,lie
说谎,vi.,lie
生命；生涯；生活；人生；生物,n.,"life (pl,lives)"
举起；抬起；(云、烟等)消散,v.,lift
点(火)，点燃,vt.,"light(lit,lit/lighted,lighted)"
光，光亮；灯，灯光,n.,light
明亮的；轻的；浅色的,a.,light
像；跟……一样,prep.,like
喜欢；喜爱,vt.,like
限制；限量，限度；界限,n. vt. ,limit
绳索，线，排，行，线路,n.,line
狮子,n.,lion
一览表，清单,n.,list
听，仔细听,vi.,listen
乱丢杂物,v.,litter
垃圾,n.,litter
小的，少的,a.,"little (less, least)"
生活；居住；活着,vi.,live
以…为主食，靠…为生,,live on
活泼的；充满生气的,a.,lively
地方的；当地的，本地的；局部的；褊狭的,adj.,local
慢车；本地居民（律师、教士、医生）；住处附近的当地酒店；本地新闻, n.,local
锁,n.,lock
锁，锁上,vt.,lock
伦敦,n.,London
孤独的，寂寞的,a.,lonely
长的，远,a.,long
看，瞧,n.,look
看，观看,v,look
看起来,link.v,look
照顾,,look after
向前看，展望未来,,look ahead
看不起，轻视,,look down upon/on
寻找,,look for
盼望,,look forward to
向…里面看去；调查,,look into
留神，当心,,look out
看穿，浏览,,look through
查找,,look up
失去，丢失,v.,"lose(lost, lost)"
许多，好些,n.,lot
许多，大量,,lots of
l大声的,a.,loud
爱；热爱；很喜欢,n.&vt.,love
美好的；可爱的,a.,lovely
低；矮,a.& ad.,low
运气，好运,n.,luck
运气好，侥幸,a.,lucky
午餐，午饭,n.,lunch
机器,n.,machine
发疯的；生气的,a.,mad
杂志,n.,magazine
有魔力的,a.,magic
邮政,n.,mail
主要的,a.,main
制造，做；使得,vt.,"make(made, made)"
成年男人；人，人类,n.,man (pl.men)
管理；设法,v.,manage
经理,n.,manager
方式，方法，做法；态度，样子，举止；礼貌，规矩；风俗，习惯，惯例，生活方式,n.,manner
许多人(事),pron.,"many (more,most)"
许多的,a.,"many (more,most)"
地图,n.,map
三月,n.,March
标记；标明,n.&vt.,mark
市场，集市,n.,market
结婚；婚姻,n.,marriage
(使)成婚；结婚,v.,marry
精通；掌握,vt,master
主人；顾主,n.,,master
比赛；竞赛；火柴,n.,match
使相配；使配对,vt.,match
重要的；物质的，实质性的；肉体的,adj.,material
材料，原料；物资；布料,n.,material
数学,n.,math(s)
物质；原因；事件,n.,matter
有关系；要紧,vi.,matter
可以；也许，可能,modal.v,"may(might,-)"
五月,n.,May
可能，大概，也许,ad.,maybe
我(宾格),pron,me 
一餐(饭),n.,meal
意思是，意指,vt.,"mean(meant, meant)"
意思，含义,n.,meaning
 (猪、牛、羊等的)肉,n.,meat
医学的，医疗的,a.,medical
药,n.,medicine
遇见，见到,vt.,"meet(met, met)"
会；集会；会见；汇合点,n.,meeting
成员，会员,n.,member
回忆，记忆,n.,memory
修理，修补,v.,mend
提及，提到，记载,n.&vt,mention
菜单,n.,menu
混乱；食堂，伙食团；困境；脏乱的东西,n.,mess
弄乱，弄脏；毁坏；使就餐,vt.,mess
把事情弄糟；制造脏乱；玩弄,vi.,mess
消息，音信,n.,message
金属,n.,metal
金属制成的,a.,metal
方法；办法,n.,method
米，公尺,n.,metre （美meter）
中间；当中；中级,a.& n.,middle
可能，也许,model.v,might(may的过去式，助动词)
英里,n.,mile
牛奶,n.,milk
成百万上千万，数以百万计,,millions of
思想；想法,n.,mind
介意；关心,vt.,mind
我的(物主代词),pron,mine
分钟；一会儿，瞬间,n.,minute
镜子,n.,mirror
失去，错过，思念,vt.,miss
小姐，女士(称呼未婚妇女),n.,Miss
失踪的；缺少的,adj.,missing
错过（miss的ing形式）；想念；漏掉,v.,missing
弄错,vt.,mistake
错误,n.,"(mistook,mistaken)"
配制；混淆；使混和；使结交,vt.,mix
参与；相混合；交往,vi.,mix
混合；混合物；混乱,n.,mix
手机；行动电话,n.,mobile phone
模型，原形；范例；模范,n.,model
现代化的,a.,modern
片刻，瞬间,n.,moment
星期一,n.,Monday
钱；货币,n.,money
（班级内的）班长；纠察生监视器,n.,monitor
猴子,n.,monkey
月，月份,n.,month
月球；月光；月状物,n.,moon
另外的；附加的；较多的；另外；而且；更,a.&ad.,more(much或many的比较级)
更多的量；另外的一些,n.,more(much或many的比较级)
或多或少,,more or less
早晨，上午,n.,morning
最多,a.&ad,most(much或many的最高级)
母亲,n.,mother(mum)
摩托车,n.,motorcycle
山，山脉,n.,mountain
鼠，耗子；(计算机)鼠标,n.,mouse(pl. mice)
嘴，口,n.,mouth
移动，搬动，搬家,v.,move
(口语)电影,n.,movie
先生(用于姓名前),n.,Mr.（mister）
夫人，太太(称呼已婚妇女),n.,Mrs. (mistress)
女士(用在婚姻状况不明的女子姓名前),n.,Ms.
许多的，大量的,a.,"much (more,most)"
谋杀,vt.,murder
博物馆，博物院,n.,museum
音乐，乐曲,n.,music
音乐家,n.,musician
必须，应当；必定是,modalv.,"must(must,-)"
我的,pron.,my
我自己,pron.,myself
名字，姓名，名称,n.,name
国家的，全国性的，民族的,a.,national
自然的,a.,natural
自然，性质，种类,n.,nature
顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的,adj.,naughty
近的,a.,near
将近，几乎,ad.,nearly
必需的，必要的,a.,necessary
颈，脖子,n.,neck
需要，需求,n.,need
需要，必须,modalv.&v.,need
邻居，邻人,n.,neighbour
,,(美neighbor)
(两者)都不；也不,a.,neither
既不……也不……,,neither… nor…
紧张不安的,a.,nervous
决不，从来没有,ad.,never
新的；新鲜的,a.,new
新闻，消息,n.,news
报纸,n.,newspaper
最近的；紧挨着的，隔壁的；下一次,a.,next
随后，然后，下一步,ad.,next
紧接着相邻，次于,,next to
令人愉快的；好的，漂亮的,a.,nice
夜；夜间,n.,night
九,num.,nine
十九,num.,nineteen
九十,num.,ninety
第九,num.,ninth
不，不是,ad.,no
没有，无，不,a.,no
没有人，谁也不,pron.,nobody
点头,vi.,nod 
声音，噪声，喧闹声,n.,noise
嘈杂的；喧闹的；聒噪的,adj.,noisy
响声；嘈杂声,n.,noisy
不再,,no longer
无任何东西或人，无一人,pron.,none
面条,n.,noodle
中午，正午,n.,noon
也不,conj.,nor
正常的（状态）,n.&a.,normal
北的；朝北的；从北来的,a.,north
北；北方；北部,n.,north
北方的，北部的,a.,northern
鼻,n.,nose
不，没,ad.,not
不再,,not …any more
"一点也不,绝非",,not…at all
不仅……而且…,,not only…but also…
不像……；不如……,,not so…as
直到……才……,,not till / until…
便条；笔记，注释；钞票；纸币；音符；音调,n.,note
记下；记录；注意；留意,vt.,note
笔记簿,n.,notebook
没有东西，没有什么,pron.,nothing
布告，通告；注意,n.,notice
注意，注意到,vt.,notice
十一月,n.,November
现在,ad.,now
时而; 偶尔,,now and then
数，数字，号码；数量,n.,number
护士；保育员,n.,nurse
物，物体；宾语,n.,object
明显的；显著的；平淡无奇的,adj.,obvious
…点钟（等于of the clock）,abbr.,o’clock
海洋,n.,ocean
十月,n.,October
(表示所属、数量，其中)……的,prep,of
当然,,of course
离开，脱离，(走)开,prep.,off
离开；(电，自来水)停了，中断,ad.,off
提供，建议,vt& n.,offer
办公室．,n.,office
军官；公务员；官员；警官,n.,officer
经常，常常,ad.,often
油,n.,oil
(口语)好，对，不错,ad.,OK
老的，旧的,a.,old
奥林匹克运动会,n.,Olympics
在……上面；关于,prep.,on
值日；值班,,on duty 
走路，步行,,on foot
在展出,,on show
准时,,on time
通过收音机,,on/over the radio
一次，   一度，从前；,n.&ad.,once
一旦,conj.,once
再一次,,once again
再一次,,once more
从前；很久以前,,once upon a time
一(个，只……),num.,one
一,pron.,one
"一个接一个,连续地",,one after another
自己，自身,pron.,oneself
联机的；在线的,adj.,online
在线地,adv.,online
仅仅，只，才,ad.,only
开着的，开口的,a.,open
开，打开,vt.,open
运转；动手术；起作用,vi.,operate
操作；经营；引起；对…开刀,vt.,operate
手术；操作,n.,operation
意见；主张,n.,opinion
时机，机会,n.,opportunity
相反的；对面的；对立的,adj.,opposite
对立面；反义词,n.,opposite
在…的对面,prep.,opposite
在对面,adv.,opposite
或，就是，否则,conj.,or
橘子，橙子，橘子汁,n.,orange
橙色的,a.,orange
定购，订货；点菜,vt,order
顺序,n..,order
组织；使有系统化；给予生机；组织成立工会等,vt.,organize
组织起来；成立组织,vi.,organize
别人，别的东西,pron.,other
别的，另外的,a.,other
应该,,ought to
我们的,pron,our
我们的,pron,ours
我们自己,pron,ourselves
外出，在外；向外；熄,ad.,out
上气不接下气,,out of breath
失业,,out of work
外面,n.,outside
在外面,ad.,outside
在……外面,prep,outside
在……上方；越过；遍及,prep,over
"翻到,遍布；越过；结束",ad.,over
反复，多次重复,,over and over again
大衣,n.,overcoat
自己的,a.,own
拥有，所有,v.,own
物主，所有人,n.,owner
太平洋的,a.,Pacific
一包；一袋；一盒,n.,package
页，页码,n.,page
疼痛；努力,n.,pain
使…痛苦；使…烦恼,vt.,pain
感到疼痛；引起疼痛,vi.,pain
油漆,n.,paint
一双，一对,n.,pair
宫，宫殿,n.,palace
苍白的；灰白的,a.,pale
薄煎饼,n.,pancake
熊猫,n.,panda
纸；报纸,n.,paper
经过,,pass by
段落；短评；段落符号,n.,paragraph
原谅，宽恕，对不起,n.,pardon
父(母)，双亲,n.,parent
公园,n.,park
停放（汽车）,vt.,park
部分；成分；角色；部件；零件,n.,part
配偶；伴侣；合伙人,n.,partner
聚会，晚会；党派,n.,party
传，递；经过；通过,vt.,pass
一节；一段；地道；走廊,n.,passage
乘客，旅客,n.,passenger
护照,n.,passport
过,ad.,past
过去，昔日，往事,n.,past
过……，走过某处,prep.,past
小道，小径,n.,path
病人,n.,patient
耐心的,a.,patient
付钱，给……报酬,v.,"pay(paid, paid)"
注意,,pay attention to
偿还（借款等）,,pay back
付……钱; 买,,pay for
体育课；体育教育,n.,PE
和平,n.,peace
梨子，梨树,n.,pear
钢笔，笔,n.,pen
铅笔,n.,pencil
（英）便士；美分,n.,penny (pl.pence)
人，人们；人民,n.,people
百分之……,n.,percent
完美的，及好的,a.,perfect
执行；完成；演奏,vt.,perform
执行，机器运转；表演,vi.,perform
可能，或许,ad.,perhaps
定期，时代,n.,period
人,n.,person
个人的，私人的,a.,personal
宠物，爱畜,n.,pet
打电话,v.,phone =telephone
电话，电话机,n.,phone =telephone
照片,n.,photo=photograph
物理(学),n.,physics
钢琴,n.,piano
拾起，采集；挑选,v.,pick
挑选出,,pick out
拾起,,pick up
野餐,n.,picnic
图片，画片，照片,n.,picture
甜馅饼,n.,pie
一块(片，张，件……),n.,piece
猪,n.,pig
飞行员,n.,pilot
乒乓球,n.,ping-pong
粉红色的,a.,pink
先锋，开拓者,n.,pioneer
怜悯，同情,n.,pity
地方，处所,n.,place
放置，安置，安排,v.,place
家常的；普通的,a.,plain
计划，打算,n.&v.,plan
飞机,n.,plane
行星,n.,planet
种植，播种,vt.,plant
植物,n.,plant
塑料,n.,plastic
塑料的,a.,plastic
板；片；牌；盘子；盆子,n.,plate
玩；打(球)；游戏；播放,v.,play
运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器,n.,player
操场，运动场,n.,playground
令人愉快的，舒适的,a.,pleasant
请；使人高兴，使人满意,v.,please
高兴，愉快,n.,pleasure
充足，大量,n.,plenty
 (衣服的)口袋,n.,pocket
诗,n.,poem
指，指向,v.,point
点；分数,n.,point
指出,,point out 
指向,,point to
警察，警务人员,n.,police
警察；巡警；,n.,policeman
,,(pl. policemen)
女警察；女巡警；,n.,policewoman
,,(pl.policewomen)
政策；方针,n.,policy
有礼貌的；有教养的,a.,polite
污染；玷污；败坏,v.,pollute
污染；污染物,n.,pollution
池塘,n.,pond
水塘，水池,n.,pool
贫穷的；可怜的；不好的，差的,a.,poor
(口语)(音乐、艺术等)大众的，通俗的,a.,pop=popular
(音乐、艺术等)大众的，通俗的,a.,popular(pop)
人口，人数,n.,population
